Chemical_Group_Name,EC_No,CAS_No,Annex
"Benzyl butyl phthalate","201-622-7","85-68-7","Annex I Part 1
Annex I Part 2"
"Beta-cyfluthrin","","1820573-27-0","Annex I Part 1
Annex I Part 2"
"Beta-cypermethrin","265-898-0","65731-84-2","Annex I Part 1
Annex I Part 2"
"Bifenthrin","","82657-04-3","Annex I Part 1
Annex I Part 2"
"Binapacryl","207-612-9","485-31-4","Annex I Part 1
Annex I Part 3"
"Bis(pentabromophenyl) ether","214-604-9","1163-19-5","Annex I Part 1
Annex I Part 2"
"Bitertanol","259-513-5","55179-31-2","Annex I Part 1
Annex I Part 2"
"Bromoxynil","","","Annex I Part 1
Annex I Part 2"
"Butralin","251-607-4","33629-47-9","Annex I Part 1
Annex I Part 2"
"Cadmium and its compounds","","","Annex I Part 1
Annex I Part 2"
"Cadusafos","","95465-99-9","Annex I Part 1
Annex I Part 2"
"Calciferol","200-014-9","50-14-6","Annex I Part 1"
"Captafol","219-363-3","2425-06-1","Annex I Part 1
Annex I Part 3"
"Carbaryl","200-555-0","63-25-2","Annex I Part 1
Annex I Part 2"
"Carbendazim","234-232-0","10605-21-7","Annex I Part 1"
"Carbofuran","216-353-0","1563-66-2","Annex I Part 1
Annex I Part 3"
"Carbon tetrachloride","200-262-8","56-23-5","Annex I Part 1"
"Carbosulfan","259-565-9","55285-14-8","Annex I Part 1
Annex I Part 2"
"Cartap","","15263-53-3","Annex I Part 1"
"Chinomethionat","219-455-3","2439-01-2","Annex I Part 1"
"Chlorate","","","Annex I Part 1
Annex I Part 2"
"Chlordane","200-349-0","57-74-9","Annex I Part 3
Annex V Part 1"
"Chlordimeform","228-200-5","6164-98-3","Annex I Part 1
Annex I Part 3"
"Chlorfenapyr","","122453-73-0","Annex I Part 1
Annex I Part 2"
"Chlorfenvinphos","207-432-0","470-90-6","Annex I Part 1"
"Chlormephos","246-538-1","24934-91-6","Annex I Part 1"
"Chlorobenzilate","208-110-2","510-15-6","Annex I Part 1
Annex I Part 3"
"Chloroform","200-663-8","67-66-3","Annex I Part 1"
"Chloropicrin","200-930-9","76-06-2","Annex I Part 1
Annex I Part 2"
"Chlorothalonil","217-588-1","1897-45-6","Annex I Part 1
Annex I Part 2"
"Chlorpropham","202-925-7","101-21-3","Annex I Part 1
Annex I Part 2"
"Chlorpyrifos","220-864-4","2921-88-2","Annex I Part 1
Annex I Part 2"
"Chlorpyrifos-methyl","227-011-5","5598-13-0","Annex I Part 1
Annex I Part 2"
"Chlorthal-dimethyl","217-464-7","1861-32-1","Annex I Part 1
Annex I Part 2"
"Chlozolinate","282-714-4","84332-86-5","Annex I Part 1
Annex I Part 2"
"Cholecalciferol","200-673-2","67-97-0","Annex I Part 1"
"Cinidon-ethyl","","142891-20-1","Annex I Part 1
Annex I Part 2"
"Clothianidin","433-460-1","210880-92-5","Annex I Part 1
Annex I Part 2"
"Commercial octabromodiphenyl ether (including hexabromodiphenyl ether and heptabromodiphenyl ether)","","","Annex I Part 1
Annex I Part 3"
"Commercial pentabromodiphenyl ether (including tetrabromodiphenyl ether and pentabromodiphenyl ether)","","","Annex I Part 1
Annex I Part 3"
"Coumafuryl","204-195-5","117-52-2","Annex I Part 1"
"Creosote and Creosote related substances","","","Annex I Part 1"
"Crimidine","208-622-6","535-89-7","Annex I Part 1"
"Cyanamide","206-992-3","420-04-2","Annex I Part 1"
"Cyanazine","244-544-9","21725-46-2","Annex I Part 1"
"Cybutryne","248-872-3","28159-98-0","Annex I Part 1
Annex I Part 2"
"Cyclanilide","419-150-7","113136-77-9","Annex I Part 1
Annex I Part 2"
"Cyfluthrin","269-855-7","68359-37-5","Annex I Part 1"
"Cyhalothrine","268-450-2","68085-85-8","Annex I Part 1"
"Cyhexatin","236-049-1","13121-70-5","Annex I Part 1
Annex I Part 2"
"DBB (Di-µ-oxo-di-n-butylstannio-hydroxyborane)","401-040-5","75113-37-0","Annex I Part 1"
"DDT","200-024-3","50-29-3","Annex I Part 3
Annex V Part 1"
"DPX KE 459 (flupyrsulfuron-methyl)","","","Annex I Part 1
Annex I Part 2"
"Desmedipham","237-198-5","13684-56-5","Annex I Part 1
Annex I Part 2"
"Diarsenic pentaoxide","215-116-9","1303-28-2","Annex I Part 1
Annex I Part 2"
"Diazinon","206-373-8","333-41-5","Annex I Part 1
Annex I Part 2"
"Dibutyltin compounds","","","Annex I Part 1"
"Dichlobenil","214-787-5","1194-65-6","Annex I Part 1
Annex I Part 2"
"Dichlorvos","200-547-7","62-73-7","Annex I Part 1
Annex I Part 2"
"Dicloran","202-746-4","99-30-9","Annex I Part 1
Annex I Part 2"
"Didecyldimethylammonium chloride","230-525-2","7173-51-5","Annex I Part 1"
"Dieldrin","200-484-5","60-57-1","Annex I Part 3
Annex V Part 1"
"Diisobutyl phthalate","201-553-2","84-69-5","Annex I Part 1
Annex I Part 2"
"Dimethenamid","","87674-68-8","Annex I Part 1
Annex I Part 2"
"Dimethoate","200-480-3","60-51-5","Annex I Part 1
Annex I Part 2"
"Diniconazole-M","","83657-18-5","Annex I Part 1
Annex I Part 2"
"Dinitro-ortho-cresol (DNOC) and its salts (such as ammonium salt, potassium salt and sodium salt)","","","Annex I Part 1
Annex I Part 3"
"Dinobuton","213-546-1","973-21-7","Annex I Part 1"
"Dinoseb and its salts and esters","","","Annex I Part 1
Annex I Part 3"
"Dinoterb","215-813-8","1420-07-1","Annex I Part 1
Annex I Part 2"
"Dioctyltin compounds","","","Annex I Part 1"
"Diphenylamine","204-539-4","122-39-4","Annex I Part 1
Annex I Part 2"
"Diquat, including diquat dibromide","","","Annex I Part 1
Annex I Part 2"
"Dustable powder formulations containing a combination of: Benomyl at or above 7 %, Carbofuran at or above 10 % and Thiram at or above 15 %","","","Annex I Part 1
Annex I Part 3"
"Empenthrin","259-154-4","54406-48-3","Annex I Part 1
Annex I Part 2"
"Endosulfan","204-079-4","115-29-7","Annex I Part 3
Annex V Part 1"
"Epoxiconazole","406-850-2","135319-73-2","Annex I Part 1
Annex I Part 2"
"Ethalfluralin","259-564-3","55283-68-6","Annex I Part 1
Annex I Part 2"
"Ethion","209-242-3","563-12-2","Annex I Part 1"
"Ethoprophos","236-152-1","13194-48-4","Annex I Part 1
Annex I Part 2"
"Ethoxyquin","202-075-7","91-53-2","Annex I Part 1
Annex I Part 2"
"Ethoxysulfuron","","126801-58-9","Annex I Part 1
Annex I Part 2"
"Ethylene dichloride (1,2-dichloroethane)","203-458-1","107-06-2","Annex I Part 1
Annex I Part 3"
"Ethylene oxide","200-849-9","75-21-8","Annex I Part 1
Annex I Part 3"
"Fenamidone","","161326-34-7","Annex I Part 1
Annex I Part 2"
"Fenamiphos","244-848-1","22224-92-6","Annex I Part 1
Annex I Part 2"
"Fenarimol","262-095-7","60168-88-9","Annex I Part 1
Annex I Part 2"
"Fenbutatin oxide","236-407-7","13356-08-6","Annex I Part 1
Annex I Part 2"
"Fenitrothion","204-524-2","122-14-5","Annex I Part 1
Annex I Part 2"
"Fenpropathrin","254-485-0","39515-41-8","Annex I Part 1"
"Fenthion","200-231-9","55-38-9","Annex I Part 1
Annex I Part 2"
"Fentin acetate","212-984-0","900-95-8","Annex I Part 1
Annex I Part 2"
"Fentin hydroxide","200-990-6","76-87-9","Annex I Part 1
Annex I Part 2"
"Fenvalerate","257-326-3","51630-58-1","Annex I Part 1"
"Ferbam","238-484-2","14484-64-1","Annex I Part 1
Annex I Part 2"
"Fipronil","","120068-37-3","Annex I Part 1
Annex I Part 2"
"Flufenoxuron","417-680-3","101463-69-8","Annex I Part 1
Annex I Part 2"
"Fluoroacetamide","211-363-1","640-19-7","Annex I Part 1
Annex I Part 3"
"Flurenol","207-397-1","467-69-6","Annex I Part 1"
"Flurprimidol","","56425-91-3","Annex I Part 1
Annex I Part 2"
"Flurtamone","","96525-23-4","Annex I Part 1
Annex I Part 2"
"Furathiocarb","265-974-3","65907-30-4","Annex I Part 1"
"Glufosinate, including glufosinate-ammonium","","","Annex I Part 1
Annex I Part 2"
"Guazatine and Guazatine acetate","","","Annex I Part 1
Annex I Part 2"
"HCH (mixed isomers)","210-168-9","608-73-1","Annex I Part 3
Annex V Part 1"
"Heptachlor","200-962-3","76-44-8","Annex I Part 3
Annex V Part 1"
"Hexabromobiphenyl","252-994-2","36355-01-8","Annex I Part 3
Annex V Part 1"
"Hexabromocyclododecane","","","Annex I Part 3
Annex V Part 1"
"Hexachlorobenzene","204-273-9","118-74-1","Annex I Part 3
Annex V Part 1"
"Hexachloroethane","200-666-4","67-72-1","Annex I Part 1"
"Hexazinone","257-074-4","51235-04-2","Annex I Part 1
Annex I Part 2"
"Imidacloprid","","138261-41-3","Annex I Part 1"
"Iminoctadine","236-855-3","13516-27-3","Annex I Part 1"
"Indolylacetic Acid","201-748-2","87-51-4","Annex I Part 1
Annex I Part 2"
"Iprodione","253-178-9","36734-19-7","Annex I Part 1
Annex I Part 2"
"Isoproturon","251-835-4","34123-59-6","Annex I Part 1
Annex I Part 2"
"Isoxathion","242-624-8","18854-01-8","Annex I Part 1"
"Lead","231-100-4","7439-92-1","Annex I Part 1"
"Lead compounds","","","Annex I Part 1"
"Lindane","200-401-2","58-89-9","Annex I Part 3
Annex V Part 1"
"Linuron","206-356-5","330-55-2","Annex I Part 1
Annex I Part 2"
"Malathion","204-497-7","121-75-5","Annex I Part 1"
"Maleic hydrazide salts other than choline, potassium and sodium salts","","","Annex I Part 1"
"Mancozeb","","8018-01-7","Annex I Part 1
Annex I Part 2"
"Maneb","235-654-8","12427-38-2","Annex I Part 1
Annex I Part 2"
"Mecoprop","","","Annex I Part 1
Annex I Part 2"
"Mercury","231-106-7","7439-97-6","Annex I Part 1
Annex I Part 2"
"Mercury compounds, including inorganic mercury compounds, alkyl mercury compounds and alkyloxyalkyl and aryl mercury compounds","","","Annex I Part 1
Annex I Part 3"
"Methamidophos","233-606-0","10265-92-6","Annex I Part 1
Annex I Part 3"
"Methidathion","213-449-4","950-37-8","Annex I Part 1"
"Methiocarb","217-991-2","2032-65-7","Annex I Part 1
Annex I Part 2"
"Methomyl","240-815-0","16752-77-5","Annex I Part 1
Annex I Part 2"
"Methyl bromide","200-813-2","74-83-9","Annex I Part 1
Annex I Part 2"
"Methyl-parathion","206-050-1","298-00-0","Annex I Part 1
Annex I Part 2"
"Methyl-parathion (emulsifiable concentrates (EC) at or above 19,5 % active ingredient and dusts at or above 1,5 % active ingredient)","206-050-1","298-00-0","Annex I Part 1
Annex I Part 3"
"Metoxuron","243-433-2","19937-59-8","Annex I Part 1"
"Monocrotophos","230-042-7","6923-22-4","Annex I Part 1
Annex I Part 3"
"Monolinuron","217-129-5","1746-81-2","Annex I Part 1"
"Monomethyl-Dichloro-Diphenyl methane; Trade name: Ugilec 121 or Ugilec 21","400-140-6","","Annex I Part 1
Annex I Part 2"
"Monomethyl-Tetrachlorodiphenyl methane; Trade name: Ugilec 141","278-404-3","76253-60-6","Annex I Part 1
Annex I Part 2"
"Monomethyl-dibromo-diphenyl methane; Trade name: DBBT","402-210-1","99688-47-8","Annex I Part 1
Annex I Part 2"
"Monuron","205-766-1","150-68-5","Annex I Part 1"
"Naled","206-098-3","300-76-5","Annex I Part 1
Annex I Part 2"
"Nicotine","200-193-3","54-11-5","Annex I Part 1
Annex I Part 2"
"Nitrofen","217-406-0","1836-75-5","Annex I Part 1
Annex I Part 2"
"Nonylphenol ethoxylates (C2H4O)nC15H24O","","","Annex I Part 1
Annex I Part 2"
"Nonylphenols C6H4(OH)C9H19","","","Annex I Part 1
Annex I Part 2"
"Omethoate","214-197-8","1113-02-6","Annex I Part 1"
"Orthosulfamuron","","213464-77-8","Annex I Part 1
Annex I Part 2"
"Oxadiargyl","254-637-6","39807-15-3","Annex I Part 1
Annex I Part 2"
"Oxasulfuron","","144651-06-9","Annex I Part 1
Annex I Part 2"
"Oxydemeton-methyl","206-110-7","301-12-2","Annex I Part 1
Annex I Part 2"
"Paraquat","","","Annex I Part 1
Annex I Part 2"
"Parathion","200-271-7","56-38-2","Annex I Part 1
Annex I Part 3"
"Pebulate","214-215-4","1114-71-2","Annex I Part 1"
"Pentachloroethane","200-925-1","76-01-7","Annex I Part 1"
"Pentachlorophenol and its salts and esters","","","Annex I Part 1
Annex I Part 3
Annex V Part 1"
"Perfluorooctane sulfonate derivatives (including polymers) not covered by Perfluorooctane sulfonic acid, Perfluorooctane sulfonates, Perfluorooctane sulfonamides, Perfluorooctane sulfonyls","","","Annex I Part 1
Annex I Part 2"
"Perfluorooctane sulfonic acid,Perfluorooctane sulfonates, Perfluorooctane sulfonamides, Perfluorooctane sulfonyls","","","Annex I Part 1
Annex I Part 3"
"Perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds","","","Annex I Part 1
Annex I Part 2"
"Permethrin","258-067-9","52645-53-1","Annex I Part 1"
"Phorate","206-052-2","298-02-2","Annex I Part 1
Annex I Part 3"
"Phosalone","218-996-2","2310-17-0","Annex I Part 1
Annex I Part 2"
"Phosphamidon (soluble liquid formulations of the substance that exceed 1 000 g active ingredient/l)","","","Annex I Part 1
Annex I Part 3"
"Picoxystrobin","","117428-22-5","Annex I Part 1
Annex I Part 2"
"Polybrominated biphenyls (PBB) except hexabromo-biphenyl","","","Annex I Part 1
Annex I Part 3"
"Polychlorinated biphenyls (PCB)","","","Annex I Part 3
Annex V Part 1"
"Polychlorinated terphenyls (PCT)","","","Annex I Part 1
Annex I Part 3"
"Procymidone","251-233-1","32809-16-8","Annex I Part 1
Annex I Part 2"
"Propachlor","217-638-2","1918-16-7","Annex I Part 1
Annex I Part 2"
"Propanil","211-914-6","709-98-8","Annex I Part 1
Annex I Part 2"
"Propargite","219-006-1","2312-35-8","Annex I Part 1
Annex I Part 2"
"Propham","204-542-0","122-42-9","Annex I Part 1"
"Propiconazole","262-104-4","60207-90-1","Annex I Part 1"
"Propineb (polymeric zinc propylenebis(dithiocarbamate))","","","Annex I Part 1
Annex I Part 2"
"Propisochlor","","86763-47-5","Annex I Part 1
Annex I Part 2"
"Pymetrozine","","123312-89-0","Annex I Part 1
Annex I Part 2"
"Pyrazophos","236-656-1","13457-18-6","Annex I Part 1
Annex I Part 2"
"Quinoxyfen","","124495-18-7","Annex I Part 1
Annex I Part 2"
"Quintozene","201-435-0","82-68-8","Annex I Part 1
Annex I Part 2"
"Rotenone","201-501-9","83-79-4","Annex I Part 1
Annex I Part 2"
"Scilliroside","208-077-4","507-60-8","Annex I Part 1"
"Short-chain chlorinated paraffins","","85535-84-8","Annex I Part 3
Annex V Part 1"
"Simazine","204-535-2","122-34-9","Annex I Part 1
Annex I Part 2"
"Strychnine","200-319-7","57-24-9","Annex I Part 1"
"Technazene","204-178-2","117-18-0","Annex I Part 1
Annex I Part 2"
"Tepraloxydim","","149979-41-9","Annex I Part 1
Annex I Part 2"
"Terbufos","235-963-8","13071-79-9","Annex I Part 1"
"Tetraethyl lead","201-075-4","78-00-2","Annex I Part 1
Annex I Part 3"
"Tetramethyl lead","200-897-0","75-74-1","Annex I Part 1
Annex I Part 3"
"Thallium sulphate","231-201-3","7446-18-6","Annex I Part 1"
"Thiacloprid","","111988-49-9","Annex I Part 1
Annex I Part 2"
"Thiamethoxam","","153719-23-4","Annex I Part 1
Annex I Part 2"
"Thiobencarb","248-924-5","28249-77-6","Annex I Part 1
Annex I Part 2"
"Thiocyclam","250-859-2","31895-22-4","Annex I Part 1"
"Thiodicarb","261-848-7","59669-26-0","Annex I Part 1
Annex I Part 2"
"Thiophanate-methyl","245-740-7","23564-05-8","Annex I Part 1
Annex I Part 2"
"Thiram","205-286-2","137-26-8","Annex I Part 1
Annex I Part 2"
"Tolylfluanid","211-986-9","731-27-1","Annex I Part 1
Annex I Part 2"
"Toxaphene","232-283-3","8001-35-2","Annex I Part 3
Annex V Part 1"
"Triasulfuron","","82097-50-5","Annex I Part 1
Annex I Part 2"
"Triazophos","245-986-5","24017-47-8","Annex I Part 1"
"Tributyltin Compounds","","","Annex I Part 1
Annex I Part 3"
"Trichlorfon","200-149-3","52-68-6","Annex I Part 1
Annex I Part 3"
"Trichlorobenzene","204-428-0","120-82-1","Annex I Part 1"
"Triclosan","222-182-2","3380-34-5","Annex I Part 1
Annex I Part 2"
"Tricyclazole","255-559-5","41814-78-2","Annex I Part 1
Annex I Part 2"
"Tridemorph","246-347-3","24602-86-6","Annex I Part 1"
"Triflumuron","264-980-3","64628-44-0","Annex I Part 1"
"Trifluralin","216-428-8","1582-09-8","Annex I Part 1
Annex I Part 2"
"Triorganostannic compounds other than tributyltin compounds","","","Annex I Part 1
Annex I Part 2"
"Tris (2,3-dibromopropyl) phosphate","204-799-9","126-72-7","Annex I Part 1
Annex I Part 3"
"Tris (2-chloroethyl) phosphate","204-118-5","115-96-8","Annex I Part 1
Annex I Part 2"
"Tris-aziridinyl-phosphinoxide","208-892-5","545-55-1","Annex I Part 1"
"Vamidothion","218-894-8","2275-23-2","Annex I Part 1"
"Vinclozolin","256-599-6","50471-44-8","Annex I Part 1
Annex I Part 2"
"Warfarin","201-377-6","81-81-2","Annex I Part 1"
"Zineb","235-180-1","12122-67-7","Annex I Part 1"
