Chemical_Group_Name,EC_No,CAS_No,Annex
"1,1'-Biphenyl, chloro derivs.","215-648-1","1336-36-3",""
"1,1'-dimethyl-4,4'-bipyridinium","225-141-7","4685-14-7",""
"1,1,1,2-Tetrachloroethane","211-135-1","630-20-6","Annex I Part 1"
"1,1,1-Trichloroethane","200-756-3","71-55-6","Annex I Part 1"
"1,1,2,2-Tetrachloroethane","201-197-8","79-34-5","Annex I Part 1"
"1,1,2-Trichloroethane","201-166-9","79-00-5","Annex I Part 1"
"1,1,3,3-tetrabutyl-1,3-bis[(1-oxododecyl)oxy]distannoxane","222-931-3","3669-02-1",""
"1,1,3,3-tetrabutyl-1,3-bis[(1-oxohexadecyl)oxy]distannoxane","288-248-8","85702-57-4",""
"1,1,3,3-tetrabutyl-1,3-dichlorodistannoxane","233-904-0","10428-19-0",""
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate","419-430-9","",""
"1,1-Dichloroethene","200-864-0","75-35-4","Annex I Part 1"
"1,2,5,6,9,10-hexabromocyclodecane","221-695-9","3194-55-6",""
"1,2-dibromoethane (EDB)","203-444-5","106-93-4","Annex I Part 1
Annex I Part 3"
"1,2-dihydropyridazine-3,6-dione, monopotassium salt","249-000-4","28382-15-2",""
"1,2-dihydropyridazine-3,6-dione, potassium salt","257-261-0","51542-52-0",""
"1,2-dihydropyridazine-3,6-dione, sodium salt","248-972-7","28330-26-9",""
"1,3-Propanediol, 2-amino-2-ethyl-, reaction products with tributyl(pentyloxy)stannane","291-997-3","90529-64-9",""
"1,3-diacetoxy-1,1,3,3-tetrabutyldistannoxane","227-755-0","5967-09-9",""
"1,3-dichloropropene","208-826-5","542-75-6","Annex I Part 1
Annex I Part 2"
"1,3-dichloropropene (CIS) (1Z)-1,3-dichloroprop-1-ene","233-195-8","10061-01-5","Annex I Part 1"
"1-Decanaminium, N-decyl-N,N-dimethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1","","251099-16-8",""
"1-Methyl-2-(tri-n-butylstannyl)imidazole","","105494-69-7",""
"1-Methyl-5-(tri-n-butylstannyl)imidazole","","147716-03-8",""
"1-cyano-3-(methylmercurio)guanidine","207-935-5","502-39-6",""
"1-methyl-5-(tributylstannyl)-3-(trifluoromethyl)-1H-pyrazole","","191606-78-7",""
"1-​Butanaminium, N,​N,​N-​tributyl-​, (TB-​5-​11)​-​difluorotriphenylsta​nnate(1-​) (1:1)","","139353-88-1",""
"1-​Octanesulfonamide, 1,​1,​2,​2,​3,​3,​4,​4,​5,​5,​6,​6,​7,​7,​8,​8,​8-​heptadecafluoro-​N-​(2-​oxiranylmethyl)​-​N-​propyl-","","77620-64-5",""
"1-​Octanesulfonamide, N-​(2,​3-​dihydroxypropyl)​-​1,​1,​2,​2,​3,​3,​4,​4,​5,​5,​6,​6,​7,​7,​8,​8,​8-​heptadecafluoro-​N-​propyl-","","2262-49-9",""
"1H-​Pyrazole, 1-​phenyl-​5-​(tributylstannyl)​-","","141998-89-2",""
"2,2',3,3',4,4',5-heptachlorobiphenyl","","35065-30-6",""
"2,2',3,4,4',5'-hexachlorobiphenyl","","35065-28-2",""
"2,2',3,4,4',5,5'-heptachlorobiphenyl","","35065-29-3",""
"2,2',4,4',5,5'-Hexachlorobiphenyl","","35065-27-1",""
"2,2',4,4',6,6'-hexachlorobiphenyl","251-773-8","33979-03-2",""
"2,2',4,4'-tetrachlorobiphenyl","219-444-3","2437-79-8",""
"2,2',4,5,5'-pentachlorobiphenyl","","37680-73-2",""
"2,2',5,5'-tetrachloro[1,1'-biphenyl]-4,4'-diamine","239-815-3","15721-02-5",""
"2,2',5,5'-tetrachlorobiphenyl","","35693-99-3",""
"2,2'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[N-(4-chlorophenyl)-3-oxobutyramide]","304-380-1","94249-03-3",""
"2,2'-dibromobiphenyl","625-732-3","13029-09-9",""
"2,2'-dimethyl[1,1'-biphenyl]-4,4'-diamine","201-551-1","84-67-3",""
"2,2-dibutyl-1,3,2-dioxastannolane","222-732-1","3590-59-8",""
"2,2-dibutyldihydro-6H-1,3,2-oxathiastannin-6-one","201-079-6","78-06-8",""
"2,2-dioctyl-1,3,2-oxathiastannolan-5-one","239-581-2","15535-79-2",""
"2,3',4,4',5-pentachlorobiphenyl","","31508-00-6",""
"2,3-difluoro-4-(tributylstannyl)pyridine","","1245816-05-0",""
"2,4',5-trichlorobiphenyl","","16606-02-3",""
"2,4,4'-trichlorobiphenyl","230-293-2","7012-37-5",""
"2,4,5-T","202-273-3","93-76-5",""
"2,4,5-T and its salts and esters","","","Annex I Part 1
Annex I Part 3"
"2,4,5-trichloro-1,1'-biphenyl","","15862-07-4",""
"2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane","","12505-67-8",""
"2,4,6-Trichlorobiphenyl","","35693-92-6",""
"2,6-dimethyl-4-(1-naphthyl)pyrylium hexafluoroarsenate","282-682-1","84282-36-0",""
"2,6-dimethyl-4-phenylpyrylium hexafluoroarsenate","282-700-8","84304-15-4",""
"2,7-(bis(2-arsonophenylazo))-1,8-dihydroxynaphthalene-3,6-disulphonic acid","216-788-6","1668-00-4",""
"2,7-Naphthalenedisulfonic acid, 4-[2-(2-arsonophenyl)diazenyl]-3-hydroxy-, sodium salt (1:2)","","3688-92-4",""
"2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-, coupled with 4-amino-5-hydroxy-2-naphthalenesulfonic acid, diazotized 4-aminobenzenesulfonic acid and diazotized [1,1'-biphenyl]-4,4'-diamine","291-628-6","90431-98-4",""
"2,​1,​3-​Benzothiadiazole, 4,​7-​bis[5-​(trimethylstannyl)​-​2-​thienyl]​-","","1025451-57-3",""
"2- ​Naphthalenesulfonic acid, 5,​5'-​[[1,​1'-​biphenyl]​-​4,​4'-​diylbis(2,​1-​diazenediyl)​]​bis[6-​ amino-​4-​hydroxy-​, sodium salt (1:2)","","2586-60-9",""
"2-(Acetoxymercuric)ethanol phenylmercuric lactate","","4665-55-8",""
"2-(Tri-n-butylstannyl)oxazole","","145214-05-7",""
"2-(Tri-n-butylstannyl)thiophene","","54663-78-4",""
"2-(Tributylstannyl)pyridine","","17997-47-6",""
"2-(ethylmercuriothio)benzoic acid","205-719-5","148-61-8",""
"2-(tributylstannyl)furan","","118486-94-5",""
"2-(tributylstannyl)pyrazine","","205371-27-3",""
"2-Bromobiphenyl","218-141-3","2052-07-5",""
"2-Methoxy-4-(tri-n-butylstannyl)thiazole","","927391-09-1",""
"2-Naphthyloxyacetic acid","204-380-0","120-23-0","Annex I Part 1
Annex I Part 2"
"2-aminobutane","237-732-7","13952-84-6","Annex I Part 1"
"2-aminophenylarsonic acid","218-064-5","2045-00-3",""
"2-bromo-6-(tributylstannyl)pyridine","","189083-81-6",""
"2-butoxyethyl 2,4,5-trichlorophenoxyacetate","219-828-0","2545-59-7",""
"2-chlorobiphenyl","218-125-6","2051-60-7",""
"2-chloromercuriophenol","201-962-6","90-03-9",""
"2-ethoxyethylmercury acetate","204-678-0","124-08-3",""
"2-ethoxyethylmercury chloride","204-670-7","124-01-6",""
"2-ethyl-4-methylpentyl (2,4,5-trichlorophenoxy)acetate","274-012-1","69462-12-0",""
"2-ethylhexanoic acid, lead salt","241-076-7","16996-40-0",""
"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate","239-622-4","15571-58-1",""
"2-ethylhexyl 2,4,5-trichlorophenoxyacetate","217-675-4","1928-47-8",""
"2-ethylhexyl 4,4-dibutyl-10-ethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate","234-186-1","10584-98-2",""
"2-ethylhexyl 6,6-dibutyl-14-ethyl-4,8,11-trioxo-5,7,12-trioxa-6-stannaoctadeca-2,9-dienoate","239-595-9","15546-12-0",""
"2-hydroxy-5-(1,1,3,3-tetramethylbutyl)phenylmercury acetate","209-534-0","584-18-9",""
"2-methoxy-6-(tributylstannyl)pyrazine","","1105511-66-7",""
"2-methoxyethylmercury acetate","205-790-2","151-38-2",""
"2-methoxyethylmercury chloride","204-659-7","123-88-6",""
"2-methylbutyl (2,4,5-trichlorophenoxy)acetate","307-404-9","97635-44-4",""
"2-naphthylamine","202-080-4","91-59-8",""
"2-naphthylamine and its salts","","","Annex I Part 1
Annex I Part 2"
"2-naphthylammonium acetate","209-030-0","553-00-4",""
"2-naphthylammonium chloride","210-313-6","612-52-2",""
"2-nitrophenylarsonic acid","226-485-0","5410-29-7",""
"2-sec-butyl-4,6-dinitrophenol, compound with 1-aminopropan-2-ol (1:1)","275-931-0","71735-19-8",""
"2-sec-butyl-4,6-dinitrophenol, compound with 2,2',2''-nitrilotriethanol (1:1)","229-166-4","6420-47-9",""
"2-sec-butyl-4,6-dinitrophenol, compound with 2,2'-iminodiethanol (1:1)","258-532-6","53404-43-6",""
"2-​Naphthol, 1-​[[p-​(acetoxymercuri)​phenyl]​azo]​-","","94330-68-4",""
"2H- ​Tetrazolium, 2,​2'-​(3,​3'-​dimethoxy[1,​1'-​biphenyl]​-​4,​4'-​diyl)​bis[5-​[(3,​4-​ dimethoxyphenyl)​methyl]​-​3-​phenyl-​, chloride (1:2)","","106629-90-7",""
"3,3',4,4'-tetrachloro-1,1'-biphenyl","","32598-13-3",""
"3,3',5,5'-Tetrabromobiphenyl","687-038-7","16400-50-3",""
"3,3',5,5'-Tetramethylbenzidine","259-364-6","54827-17-7",""
"3,3',5,5'-Tetramethylbenzidine dihydrochloride","264-769-6","64285-73-0",""
"3,3'-(3,3'-dimethoxy-4,4'-biphenylene)bis(2,5-diphenyl-2H-tetrazolium) chloride","217-488-8","1871-22-3",""
"3,3'-Dibromobiphenyl","803-115-1","16400-51-4",""
"3,3'-[(dibutylstannylene)bis(thio)]bis(propane-1,2-diol)","269-561-9","68298-38-4",""
"3,3'-dichloro-4,4'-diisocyanato-1,1'-biphenyl","679-749-6","5331-87-3",""
"3,3'-dichlorobenzidine","202-109-0","91-94-1",""
"3,3'-dichlorobenzidine dihydrochloride","210-323-0","612-83-9",""
"3,3'-dichlorobenzidine dihydrogen bis(sulphate)","265-293-1","64969-34-2",""
"3,3'-dichlorobenzidine sulphate","277-822-3","74332-73-3",""
"3,3'-dichlorobiphenyl","","2050-67-1",""
"3,3'-dimethoxy[1,1'-biphenyl]-4,4'-bis(diazonium) dichloride","202-106-4","91-91-8",""
"3,3'-dimethoxybenzidine","204-355-4","119-90-4",""
"3,3'-dimethoxybiphenyl-4,4'-ylenediammonium dichloride","243-737-5","20325-40-0",""
"3,3'-dimethyl[1,1'-binaphthalene]-4,4'-diamine","236-069-0","13138-48-2",""
"3,3'-dimethylbiphenyl-4,4'-diyl diisocyanate","202-112-7","91-97-4",""
"3,3'-dinitro[1,1'-biphenyl]-4,4'-diamine","228-457-3","6271-79-0",""
"3,3-Diaminobenzidine tetrahydrochloride","","868272-85-9",""
"3,3′,5,5′-Tetramethylbenzidine dihydrochloride hydrate","","207738-08-7",""
"3,3′-Diaminobenzidine tetrahydrochloride","","7411-49-6",""
"3,3′-Diaminobenzidine tetrahydrochloride hydrate","","167684-17-5",""
"3,5,5-trimethylhexyl 2,4,5-trichlorophenoxyacetate","277-935-8","74592-66-8",""
"3,​3'-​Bi-​9H-​carbazole, 9,​9'-​diphenyl-","","57102-62-2",""
"3,​7-​Dibenzothiophenediam​ine, 2,​8-​dimethyl-​, 5,​5-​dioxide","","55011-44-4",""
"3-(tributylstannyl)pyridine","","59020-10-9",""
"3-Isopropoxy-4-(tri-n-butylstannyl)-3-cyclobutene-1,2-dione","","129034-70-4",""
"3-Methyl-2-(tributylstannyl)pyridine","","259807-97-1",""
"3-[(dimethylcarbamothioyl)thio]-N,N,6-trimethyl-1,5-bis(thioxo)-2,4-dithia-6-aza-3-arsaheptan-1-amine; asomate","","3586-60-5",""
"3-bromobiphenyl","218-304-9","2113-57-7",""
"3-chlorobiphenyl","218-126-1","2051-61-8",""
"3-decen-2-one","234-059-0","10519-33-2","Annex I Part 1
Annex I Part 2"
"3-methyl-4-(pyrrolidin-1-yl)benzenediazonium hexafluoroarsenate","248-532-4","27569-09-1",""
"3-methylbutyl (2,4,5-trichlorophenoxy)acetate","245-483-0","23197-61-7",""
"4,4'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[2,4-dihydro-5-methyl-2-phenyl-3H-pyrazol-3-one]","222-530-3","3520-72-7",""
"4,4'-[[1,1'-biphenyl]-4,4'-diyldiazo]bis[4,5-dihydro-5-oxo-1-(4-sulphophenyl)-1H-pyrazole-3-carboxylic] acid, sodium salt","303-425-2","94199-52-7",""
"4,4'-bi-o-toluidine","","119-93-7",""
"4,4'-dibromobiphenyl","202-198-6","92-86-4",""
"4,4'-dichlorobiphenyl","218-095-4","2050-68-2",""
"4-(Tri-n-butylstannyl)pyridine","","124252-41-1",""
"4-(Tri-n-butylstannyl)thiazole","","173979-01-6",""
"4-(diethylamino)-2-ethoxybenzenediazonium hexafluoroarsenate","264-027-1","63217-33-4",""
"4-(ethylamino)-2-methylbenzenediazonium hexafluoroarsenate","264-026-6","63217-32-3",""
"4-Hydroxy-3-nitrobenzenearsonic","","121-19-7",""
"4-Methyl-2-(tributylstannyl)pyridine","","301652-23-3",""
"4-Nonylphenol, branched, ethoxylated","500-315-8","127087-87-0",""
"4-Nonylphenol, ethoxylated","500-045-0","26027-38-3",""
"4-[6-(tributylstannyl)pyridin-2-yl]morpholine","","869901-24-6",""
"4-aminobiphenyl and its salts","","","Annex I Part 1
Annex I Part 2"
"4-aminophenylmercury acetate","228-497-1","6283-24-5",""
"4-bromobiphenyl","202-176-6","92-66-0",""
"4-chlorobiphenyl","218-127-7","2051-62-9",""
"4-chloromercuriobenzoic acid","200-442-6","59-85-8",""
"4-cyclohexyl-2,6-dimethylpyrylium hexafluoroarsenate","282-701-3","84304-16-5",""
"4-hydroxybutyl (2,4,5-trichlorophenoxy)acetate","254-982-2","40583-17-3",""
"4-methyl-2-(tributylstannyl)-1,3-thiazole","","251635-59-3",""
"4-nitrobiphenyl","202-204-7","92-93-3","Annex I Part 1
Annex I Part 2"
"4-oxo-4-[(tributylstannyl)oxy]but-2-enoic acid","223-701-5","4027-18-3",""
"5,5,9,9-tetrabutyl-7-[(tributylstannyl)oxy]-6,8-dioxa-7-phospha-5,9-distannatridecane 7-oxide","236-563-6","13435-05-7",""
"5,5-dibutyl-3,3,7,7-tetramethoxy-2,4,6,8-tetraoxa-3,7-disila-5-stannanonane","302-825-4","94134-56-2",""
"5-(tributylstannyl)-1,3-thiazole","","157025-33-7",""
"5-(tributylstannyl)pyrimidine","","144173-85-3",""
"5-Methyl-2-(tri-n-butylstannyl)pyridine","","189195-41-3",""
"5-Methyl-2-(tributylstannyl)thiazole","","848613-91-2",""
"5-oxo-L-proline, cadmium salt","240-269-3","16105-06-9",""
"5-tert-butyl-2,4,6-trinitro-m-xylene","201-329-4","81-15-2","Annex I Part 1
Annex I Part 2"
"6,6'-dihydroxy-3,3'-diarsene-1,2-diyldianilinium dichloride","205-386-6","139-93-5",""
"6,6-dibutyl-4,4,8,8-tetraethoxy-3,5,7,9-tetraoxa-4,8-disila-6-stannaundecane","289-337-4","87735-26-0",""
"6-methyl-3-nitrobenzoxamercurete","205-112-5","133-58-4",""
"8-[(tributylstannyl)oxy]quinoline","226-820-0","5488-45-9",""
"9H-​Carbazole, 9,​9'-​(9,​9-​dimethyl-​9H-​fluorene-​2,​7-​diyl)​bis-","","226958-06-1",""
"ARSENIC(V) OXIDE HYDRATE","","12044-50-7",""
"Acephate","250-241-2","30560-19-1","Annex I Part 1
Annex I Part 2"
"Acetic acid, 1,1'-(dioctylstannylene) ester, reaction products with silicic acid (H4SiO4) tetra-Et ester","300-346-5","93925-43-0",""
"Acetic acid, 2,​2,​2-​trichloro-​, 2,​3,​4,​5,​6-​pentachlorophenyl ester","","2879-60-9",""
"Acetic acid, 2,​2-​dichloro-​, 2,​3,​4,​5,​6-​pentachlorophenyl ester","","19745-69-8",""
"Acetic acid, lead salt, basic","257-175-3","51404-69-4",""
"Acetochlor","251-899-3","34256-82-1","Annex I Part 1
Annex I Part 2"
"Acifluorfen","256-634-5","50594-66-6","Annex I Part 1"
"Actinolite","","77536-66-4",""
"Alachlor","240-110-8","15972-60-8","Annex I Part 1
Annex I Part 3"
"Aldicarb","204-123-2","116-06-3","Annex I Part 1
Annex I Part 3"
"Aldrin","206-215-8","309-00-2","Annex I Part 3
Annex V Part 1"
"Aluminium chlorate","239-499-7","15477-33-5",""
"Ametryn","212-634-7","834-12-8","Annex I Part 1"
"Amitraz","251-375-4","33089-61-1","Annex I Part 1
Annex I Part 2"
"Amitrole","200-521-5","61-82-5","Annex I Part 1
Annex I Part 2"
"Ammonium chlorate","233-468-1","10192-29-7",""
"Amosite","","12172-73-5",""
"Anthophyllite","","77536-67-5",""
"Anthracene oil","292-602-7","90640-80-5",""
"Anthraquinone","201-549-0","84-65-1","Annex I Part 1
Annex I Part 2"
"Antimony arsenic oxide","264-904-9","64475-90-7",""
"Antimony oxide (Sb2O3), mixed with arsenic oxide (As2O3)","273-156-2","68951-38-2",""
"Arsenazo III disodium salt","263-516-7","62337-00-2",""
"Arsenenic acid","","10102-53-1",""
"Arsenenous acid, zinc salt","","10326-24-6",""
"Arsenic (to be removed)","","",""
"Arsenic acid (H3AsO4), copper(2+) salt (2:3), tetrahydrate","","13478-34-7",""
"Arsenic acid (H3AsO4), magnesium salt, manganese-doped","310-019-9","102110-21-4",""
"Arsenic acid (H3AsO4), monocesium salt","","16331-85-4",""
"Arsenic acid (H3AsO4), monosodium salt","","10103-60-3",""
"Arsenic acid (H3AsO4), zinc salt (1:1)","","13464-33-0",""
"Arsenic bromide","265-296-8","64973-06-4",""
"Arsenic compounds","","","Annex I Part 1"
"Arsenic sulfide","235-720-6","12612-21-4",""
"Arsenic(II) sulfide","","12044-79-0",""
"Arsine","232-066-3","7784-42-1",""
"Arsonic acid, As-​(4-​hydroxyphenyl)​-","","98-14-6",""
"Arsonic acid, [4-​[[4-​(dimethylamino)​phenyl]​azo]​phenyl]​-​, monohydrochloride","","73688-85-4",""
"Articles containing concentrations at or above 0,1 % of tetra-, penta-, hexa- or heptabromodiphenyl ether by weight when produced partially or fully from recycled materials or materials from waste prepared for re-use","","","Annex V Part 1"
"Asbestos fibres","","","Annex I Part 1
Annex I Part 3"
"Asbestos fibres: Chrysotile","","","Annex I Part 1
Annex I Part 2"
"Asulam","","","Annex I Part 1
Annex I Part 2"
"Atrazine","217-617-8","1912-24-9","Annex I Part 1
Annex I Part 2"
"Azidotri-n-butyltin(IV)","","17846-68-3",""
"Azinphos-ethyl","220-147-6","2642-71-9","Annex I Part 1"
"Azinphos-methyl","201-676-1","86-50-0","Annex I Part 1
Annex I Part 3"
"Azocyclotin","255-209-1","41083-11-8","Annex I Part 1
Annex I Part 2"
"Barium cadmium calcium chloride fluoride phosphate, antimony and manganese-doped","272-257-9","68784-55-4",""
"Barium chlorate","236-760-7","13477-00-4",""
"Barium chlorate, monohydrate","","10294-38-9",""
"Benfuracarb","","82560-54-1","Annex I Part 1
Annex I Part 2"
"Bensultap","","17606-31-4","Annex I Part 1"
"Benzaldehyde, 4,​4'-​[[1,​1'-​biphenyl]​-​4,​4'-​diylbis(phenylimino)​]​bis-","","137911-28-5",""
"Benzene","200-753-7","71-43-2","Annex I Part 1"
"Benzenesulfonic acid, mono-C10-13-alkyl derivs., cadmium salts","290-645-6","90194-35-7",""
"Benzidine, its salts and benzidine derivatives","","","Annex I Part 1
Annex I Part 2"
"Benzoic acid, cadmium salt, basic","290-764-3","90218-85-2",""
"Benzyl butyl phthalate","201-622-7","85-68-7","Annex I Part 1
Annex I Part 2"
"Beta-cypermethrin","265-898-0","65731-84-2","Annex I Part 1
Annex I Part 2"
"Binapacryl","207-612-9","485-31-4","Annex I Part 1
Annex I Part 3"
"Bis(neodecanoyloxy)dioctylstannane","269-595-4","68299-15-0",""
"Bis(tributylstannyl)acetylene","","994-71-8",""
"Bis(triphenyltin) oxide","215-025-4","1262-21-1",""
"Bitertanol","259-513-5","55179-31-2","Annex I Part 1
Annex I Part 2"
"Boric acid, cadmium salt","257-067-6","51222-60-7",""
"Butoxydibutylchlorostannane","238-131-2","14254-22-9",""
"Butralin","251-607-4","33629-47-9","Annex I Part 1
Annex I Part 2"
"Cacodylic acid","200-883-4","75-60-5",""
"Cadmate(1-), triiodo-, potassium","","14429-88-0",""
"Cadmium (II) chloride monohydrate","","35658-65-2",""
"Cadmium and its compounds","","","Annex I Part 1"
"Cadmium bromide tetrahydrate","","13464-92-1",""
"Cadmium chlorate","","22750-54-5",""
"Cadmium chloride hydrate","","654054-66-7",""
"Cadmium chloride phosphate (Cd5Cl(PO4)3), manganese-doped","309-489-8","100402-53-7",""
"Cadmium di(acetate), dihydrate","208-853-2","5743-04-4",""
"Cadmium nitrate tetrahydrate","233-710-6","10022-68-1",""
"Cadmium oxide (CdO), solid soln. with calcium oxide and titanium oxide (TiO2), praseodymium-doped","309-896-0","101356-99-4",""
"Cadmium oxide (CdO), solid soln. with magnesium oxide, tungsten oxide (WO3) and zinc oxide","310-029-3","102110-30-5",""
"Cadmium perchlorate hexahydrate","","10326-28-0",""
"Cadmium selenide","","1306-24-7",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide","275-290-7","71243-75-9",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, aluminum and copper-doped","309-897-6","101357-00-0",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, copper and manganese-doped","309-898-1","101357-01-1",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, europium-doped","309-899-7","101357-02-2",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, gold and manganese-doped","309-900-0","101357-03-3",""
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, manganese and silver-doped","309-901-6","101357-04-4",""
"Cadmium selenide sulfide","235-724-8","12626-36-7",""
"Cadmium sulfate hydrate","","15244-35-6",""
"Cadmium sulfide (CdS), aluminum and copper-doped","272-539-1","68876-98-2",""
"Cadmium sulfide (CdS), aluminum and silver-doped","272-540-7","68876-99-3",""
"Cadmium sulfide (CdS), copper and lead-doped","272-581-0","68891-87-2",""
"Cadmium sulfide (CdS), copper chloride-doped","272-541-2","68877-00-9",""
"Cadmium sulfide (CdS), silver chloride-doped","272-542-8","68877-01-0",""
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, aluminum and cobalt and copper and silver-doped","272-220-7","68784-10-1",""
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, copper and lead-doped","269-773-1","68332-81-0",""
"Cadmium sulfoselenide red","261-218-1","58339-34-7",""
"Cadmium, benzoate p-tert-butylbenzoate complexes","270-824-5","68478-53-5",""
"Cadmium, dross","273-707-7","69011-69-4",""
"Cadusafos","","95465-99-9","Annex I Part 1
Annex I Part 2"
"Calciferol","200-014-9","50-14-6","Annex I Part 1"
"Calcines, cadmium residue","273-806-5","69029-63-6",""
"Calcines, lead-zinc ore conc.","305-411-1","94551-62-9",""
"Calcium arsenite","258-147-3","52740-16-6",""
"Calcium chlorate","233-378-2","10137-74-3",""
"Captafol","219-363-3","2425-06-1","Annex I Part 1
Annex I Part 3"
"Carbamic acid, (4-methyl-1,3-phenylene)bis-, bis[2-[ethyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl] ester","268-357-7","68081-83-4",""
"Carbaryl","200-555-0","63-25-2","Annex I Part 1
Annex I Part 2"
"Carbendazim","234-232-0","10605-21-7","Annex I Part 1"
"Carbofuran","216-353-0","1563-66-2","Annex I Part 1
Annex I Part 3"
"Carbon tetrachloride","200-262-8","56-23-5","Annex I Part 1"
"Carbonic acid, 1,​1-​dimethylethyl pentachlorophenyl ester","","18942-25-1",""
"Carbosulfan","259-565-9","55285-14-8","Annex I Part 1
Annex I Part 2"
"Cartap","","15263-53-3","Annex I Part 1"
"Chinomethionat","219-455-3","2439-01-2","Annex I Part 1"
"Chlorate","","","Annex I Part 1
Annex I Part 2"
