"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"76-44-8","9-1646","1,5,7,8,9,10,10-Heptachlorotricyclo[5.2.1.0(2,6)]deca-3,8-diene","Existing chemical substances|Class I specified chemical substance","O"
"76-87-9","3-3412","Triphenylstannanol","Existing chemical substances|Class II specified chemical substance|","O"
"77-73-6","4-634","Tricyclo[5.2.1.0(2,6)]deca-3,8-diene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"77-78-1","2-1673","Dimethyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"78-23-9","2-766","3-Hydroxy-2,2-bis(hydroxymethyl)propyl stearate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-23-9","2-642","3-Hydroxy-2,2-bis(hydroxymethyl)propyl stearate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-30-8","3-2522","Tris(o-cresyl) phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-30-8","3-2613","Tris(o-cresyl) phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-30-8","3-3363","Tris(o-cresyl) phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-32-0","3-3363","Tri-p-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-32-0","3-2613","Tri-p-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-32-0","3-2522","Tri-p-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78-59-1","3-2389","1,5,5-Trimethylcyclohexen-3-one","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"78-59-1","3-2381","1,5,5-Trimethylcyclohexen-3-one","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"78-79-5","2-20","Isoprene","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"78-84-2","2-494","Isobutyraldehyde","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"78-87-5","2-81","1,2-Dichloropropane","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"78-93-3","2-542","2-Butanone","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"79-01-6","2-105","1,1,2-Trichloroethene","Existing chemical substances|Class II specified chemical substance|","O"
"79-06-1","2-1014","Acrylamide","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"79-10-7","2-984","Acrylic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"79-11-8","2-1145","Chloroacetic acid","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"79-21-0","2-689","Peroxyacetic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79-41-4","2-1025","Methacrylic acid","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"79-77-6","3-2387","(E)-4-(2,6,6-Trimethylcyclohex-1-en-1-yl)but-3-en-2-one","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79-92-5","4-613","2,2-Dimethyl-3-methylenebicyclo[2.2.1]heptane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"80-05-7","4-123","4,4'-Propane-2,2-diyldiphenol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"80-54-6","3-2667","3-(4-tert-Butylphenyl)-2-methylpropanal","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"81-15-2","3-430","1-tert-Butyl-3,5-dimethyl-2,4,6-trinitrobenzene","Existing chemical substances|Monitoring Chemical Substances","O"
"84-66-2","3-1301","Diethyl phthalate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87-68-3","2-121","Perchlorobuta-1,3-diene","Existing chemical substances|Class I specified chemical substance","O"
"87-76-3","9-876","1-Hexadecanaminium, N,N,N-trimethyl-, salt with pentachlorophenol (1:1)","Existing chemical substances|Class I specified chemical substance","O"
"87-86-5","3-2850","2,3,4,5,6-Pentachlorophenol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Class I specified chemical substance","O"
"87-90-1","5-1044","1,3,5-Trichloroisocyanuric acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"88-18-6","3-503","2-tert-Butylphenol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"88-41-5","3-2345","2-tert-Butylcyclohexan-1-yl acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"88-41-5","3-2311","2-tert-Butylcyclohexan-1-yl acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"88-41-5","3-2356","2-tert-Butylcyclohexan-1-yl acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90-17-5","3-1023","2,2,2-trichloro-1-phenylethyl acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91-08-7","3-2214","Toluene 2,6-diisocyanate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91-20-3","4-311","Naphthalene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"91-94-1","4-800","3,3'-Dichlorobiphenyl-4,4'-diyldiamine","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"92-86-4","4-18","4,4'-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"93-32-3","7-172","2-(2-Nonylphenoxy)ethanol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-32-3","3-589","2-(2-Nonylphenoxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-82-3","2-814","N,N-bis(2-hydroxyethyl)stearamide","Priority Assessment Chemical Substances (PACSs)|","O"
"93-82-3","7-87","N,N-bis(2-hydroxyethyl)stearamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-82-3","8-311","N,N-bis(2-hydroxyethyl)stearamide","Priority Assessment Chemical Substances (PACSs)|","O"
"93-82-3","2-827","N,N-bis(2-hydroxyethyl)stearamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-82-3","2-2503","N,N-bis(2-hydroxyethyl)stearamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-83-4","2-814","(Z)-N,N-Bis(2-hydroxyethyl)oleamide","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"93-83-4","8-311","(Z)-N,N-Bis(2-hydroxyethyl)oleamide","Priority Assessment Chemical Substances (PACSs)|","O"
"93-83-4","7-87","(Z)-N,N-Bis(2-hydroxyethyl)oleamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"93-83-4","2-827","(Z)-N,N-Bis(2-hydroxyethyl)oleamide","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"93-83-4","2-2503","(Z)-N,N-Bis(2-hydroxyethyl)oleamide","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"95-47-6","3-3","o-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-47-6","3-60","o-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-48-7","4-57","o-Cresol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"95-48-7","3-499","o-Cresol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"95-50-1","3-41","o-Dichlorobenzene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-51-2","3-194","o-Chloroaniline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-53-4","3-186","o-Toluidine","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"95-54-5","3-185","o-phenylenediamine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-63-6","3-7","1,2,4-Trimethylbenzene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"95-63-6","3-3427","1,2,4-Trimethylbenzene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"96-29-7","2-546","2-Butanone oxime","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"96-33-3","2-987","Methyl acrylate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"97-77-8","2-1820","Tetraethylthiuram disulfide","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"98-00-0","5-31","Furfuryl alcohol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"98-82-8","3-22","Cumene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"98-83-9","3-5","Isopropenylbenzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"98-83-9","3-8","Isopropenylbenzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"98-95-3","3-436","Nitrobenzene","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-00-5","3-442","p-Nitrochlorobenzene","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-21-0","3-1334","Terephthalic acid","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-41-4","3-28","Ethylbenzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-41-4","3-60","Ethylbenzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-42-5","3-4","Styrene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-44-7","3-102","(Chloromethyl)benzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"100-44-7","3-39","(Chloromethyl)benzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"101-14-4","4-96","2,2'-Dichloro-4,4'-methylenedianiline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"101-14-4","4-275","2,2'-Dichloro-4,4'-methylenedianiline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"101-14-4","4-95","2,2'-Dichloro-4,4'-methylenedianiline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"101-68-8","4-118","Bis(4-isocyanatophenyl)methane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"101-77-9","4-40","4,4'-Methylenedianiline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"101-86-0","3-2657","2-Benzylideneoctanal","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"102-71-6","2-308","Triethanolamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"102-71-6","2-353","Triethanolamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"103-20-8","2-3704","7-ethyl-2-methylundecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"103-20-8","2-217","7-ethyl-2-methylundecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"104-35-8","7-172","2-(4-Nonylphenoxy)ethanol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"104-35-8","3-589","2-(4-Nonylphenoxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"104-67-6","5-67","5-Heptyloxolan-2-one","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"104-67-6","9-137","5-Heptyloxolan-2-one","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"105-60-2","5-1097","Azepan-2-one","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"105-95-3","5-3880","1,4-Dioxacycloheptadecane-5,17-dione","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"105-95-3","5-1104","1,4-Dioxacycloheptadecane-5,17-dione","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"106-02-5","5-1089","15-Pentadecanolide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"106-42-3","3-3","p-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-42-3","3-60","p-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-44-5","3-499","4-Cresol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-44-5","4-57","4-Cresol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-46-7","3-41","1,4-Dichlorobenzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-49-0","3-186","p-Toluidine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"106-88-7","2-229","2-Ethyloxirane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"106-89-8","2-275","2-(Chloromethyl)oxirane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-94-5","2-73","1-Bromopropane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"106-99-0","2-17","1,3-Butadiene","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-02-8","2-521","Acrylaldehyde","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
